,train_loss
0,1.8448844260098982
1,1.8303818812175674
2,1.8275927609326887
3,1.828307787982785
4,1.8276164823648882
5,1.8236232083670947
6,1.824659908304409
7,1.8261186590000076
8,1.8258672478247662
9,1.8252433587093742
10,1.8263370704894164
11,1.8251224500792367
12,1.8234937495114851
13,1.8238945420907469
14,1.8246202511446816
15,1.8223827237985573
16,1.8218700277562043
17,1.8208524603016523
18,1.8214484885030864
19,1.8222107534505882
20,1.8165321125059712
21,1.7807023780686515
22,1.5662456802567657
23,1.3923679088451424
24,1.2948495471964077
25,1.2238583467444595
26,1.1853283874842586
27,1.1607720593408661
28,1.1440269635344038
29,1.1008256311927522
30,1.0880980789661407
31,1.0658616478345833
32,1.0827896664945447
33,1.0545093885489873
34,1.039849199202596
35,1.0098890764068584
36,1.0139146590111208
37,1.0146390482479213
38,0.979251923153595
39,0.9959294333749887
